datestats,countrystats,overall,attack,midfield,deffense,bu_speed,bu_passing,bu_positioning,cc_crossing,cc_passing,cc_shooting,cc_positioning,aggression,preassure,avg_age
5/17/2018,Spain,86,84,86,86,32,28,Organised,32,27,20,Free Form,62,75,27.04
5/17/2018,Brazil,85,86,83,85,51,50,Organised,33,39,67,Organised,73,76,27.09
5/17/2018,Belgium,85,86,84,85,36,36,Organised,66,36,56,Free Form,66,75,26.83
5/17/2018,Germany,85,81,85,84,28,34,Organised,40,20,26,Free Form,60,66,25.52
5/17/2018,France,84,83,85,82,35,30,Organised,53,24,35,Organised,47,47,25.65
5/17/2018,Portugal,83,85,82,80,51,50,Organised,58,54,62,Free Form,58,66,27.22
5/17/2018,Italy,83,85,81,85,73,67,Organised,80,64,78,Organised,33,29,26.04
5/17/2018,Argentina,82,87,81,80,36,40,Organised,36,36,36,Free Form,66,76,27.39
5/17/2018,England,82,84,81,81,49,52,Organised,41,55,49,Organised,55,43,24.65
5/17/2018,Uruguay,81,86,76,79,51,49,Organised,43,67,61,Organised,67,44,26.78
5/17/2018,Netherlands,80,79,80,80,51,51,Organised,48,42,63,Free Form,42,46,24.65
5/17/2018,Colombia,79,81,77,78,68,66,Organised,45,71,73,Organised,41,48,26.57
5/17/2018,Poland,78,82,75,79,49,52,Free Form,56,52,34,Free Form,32,46,26.91
5/17/2018,Russia,78,80,78,76,50,49,Organised,37,63,46,Organised,63,44,27.35
5/17/2018,Switzerland,78,74,78,77,53,53,Organised,55,59,60,Organised,59,46,26.48
5/17/2018,Denmark,78,75,77,77,50,53,Organised,42,68,45,Organised,46,60,26.04
5/17/2018,Mexico,78,79,79,76,53,53,Organised,60,56,70,Free Form,60,68,27.35
5/17/2018,Turkey,77,78,77,75,37,37,Organised,62,32,52,Organised,62,66,25.13
5/17/2018,Chile,77,77,80,75,40,38,Organised,45,35,45,Organised,55,68,26.26
5/17/2018,Austria,77,80,77,75,40,39,Organised,40,40,40,Organised,70,66,24.74
5/17/2018,Sweden,76,76,75,76,53,52,Organised,55,59,54,Organised,55,66,26.65
5/17/2018,Greece,76,78,74,77,71,67,Organised,71,71,71,Organised,28,25,26.04
