sys_data_source_nm,sys_data_schema_nm,sys_data_source_table_nm,sys_insert_date,sys_insert_owner_corp_id,player_name,country_name,country_code,all_time_league_goals,all_time_league_appearances,international_caps,international_goals,value,strength,stamina,pace,natural_fitness,jumping_reach,balance,agility,work_rate,vision,teamwork,positioning,off_the_ball,leadership,flair,determination,decisions,concentration,composure,bravery,anticipation,technique,corners,dribbling,finishing,first_touch,free_kicks,heading,long_shots,long_throws,marking,tackling,passing,penalties,aggression,acceleration
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Javier Mascherano,Argentina,ARG,2,364,145,3,�15.5M,13,17,12,15,8,14,12,19,10,18,18,8,19,8,19,14,19,16,20,16,11,6,8,4,11,5,8,8,9,15,18,13,10,18,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Lionel Messi,Argentina,ARG,360,414,126,64,�85M,9,13,15,14,6,20,20,7,20,14,5,16,13,20,20,20,13,18,10,19,20,15,20,20,19,19,10,17,4,4,7,20,17,7,18
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Angel Di Maria,Argentina,ARG,54,320,95,19,�29M,9,14,15,14,10,12,17,12,16,12,8,14,10,16,13,13,12,16,12,15,16,16,15,13,17,15,6,15,4,5,8,15,14,11,16
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Sergio Aguero,Argentina,ARG,218,409,87,38,�75M,10,16,15,12,8,19,18,13,14,12,7,18,12,15,15,16,15,16,14,16,18,6,17,17,17,12,12,15,3,4,5,15,17,14,18
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Gonzalo Higuain,Argentina,ARG,214,367,74,32,�73M,16,17,14,16,12,14,13,14,14,12,5,17,12,14,16,19,14,17,14,18,16,8,14,20,15,12,14,16,2,3,6,14,15,14,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Ever Banega,Argentina,ARG,25,302,63,6,�23M,10,14,12,12,7,15,13,13,17,16,11,14,11,17,13,13,11,16,11,14,17,14,15,12,17,14,6,13,4,10,13,17,12,14,12
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Lucas Biglia,Argentina,ARG,29,414,58,1,�28.5M,10,16,11,15,8,15,13,14,14,16,15,10,16,13,16,14,14,12,12,15,16,15,12,12,16,14,11,14,3,14,17,17,15,14,11
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Marcos Rojo,Argentina,ARG,9,159,57,2,�24M,14,15,14,14,13,14,14,14,6,15,15,12,8,10,15,12,12,10,18,15,13,5,9,6,12,4,14,6,10,17,18,12,8,17,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Nicolas Otamendi,Argentina,ARG,17,215,56,4,�36.5M,15,17,12,18,15,14,12,16,13,16,15,13,15,6,17,13,15,12,18,17,12,5,11,10,13,6,16,6,11,16,17,13,10,17,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Enzo Perez,Argentina,ARG,37,356,24,1,�5.5M,13,15,13,14,11,13,13,16,13,14,13,13,13,13,15,14,12,14,15,14,14,13,14,10,13,12,9,12,9,12,13,14,13,17,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Gabriel Mercado,Argentina,ARG,19,286,21,3,�8.5M,14,15,13,15,13,15,12,16,12,15,15,15,14,5,16,14,14,13,15,15,11,6,11,9,13,6,15,7,14,14,15,12,10,16,12
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Paulo Dybala,Argentina,ARG,68,194,13,0,�69M,12,14,14,14,9,16,19,15,17,16,8,15,11,17,15,16,12,15,14,16,19,16,18,16,17,18,13,16,2,4,4,16,16,14,16
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Eduardo Salvio,Argentina,ARG,43,207,11,0,�10.25M,11,10,15,12,8,13,14,14,13,9,10,15,12,17,16,11,14,11,15,16,15,11,12,14,14,8,13,10,15,8,9,12,14,14,16
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Marcos Acuna,Argentina,ARG,21,193,11,0,�10.25M,12,13,15,13,7,15,14,16,14,14,8,14,9,16,14,13,13,13,14,12,16,15,15,10,15,15,7,14,5,8,9,14,9,12,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Federico Fazio,Argentina,ARG,18,273,9,1,�17M,17,13,11,9,18,15,9,13,12,14,15,8,14,13,15,14,13,14,15,16,13,3,10,7,13,4,18,6,5,15,17,14,6,13,8
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Cristian Pavon,Argentina,ARG,20,78,7,0,�7.5M,9,14,15,15,8,8,15,12,11,10,6,14,7,12,15,10,11,14,15,10,13,14,16,10,10,13,8,14,2,6,6,12,14,10,18
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Nahuel Guzman,Argentina,ARG,0,233,6,0,�4.8M,16,12,10,16,14,14,13,12,10,13,14,8,13,7,16,13,15,14,14,15,12,4,7,4,13,3,7,10,10,11,13,12,10,13,11
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Nicolas Tagliafico,Argentina,ARG,4,193,6,0,�6.75M,14,15,14,15,12,13,11,18,7,14,14,13,16,8,15,12,15,11,17,15,8,8,8,5,8,9,16,8,13,16,14,12,4,15,12
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Willy Caballero,Argentina,ARG,0,356,5,0,�3.8M,12,10,12,12,13,13,15,13,12,12,14,7,14,12,15,14,13,13,12,13,9,6,1,3,12,8,1,2,1,3,2,12,6,6,9
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Cristian Ansaldi,Argentina,ARG,5,218,5,1,�7.25M,13,14,13,14,11,16,14,14,11,12,12,11,9,11,18,12,13,12,12,12,13,13,13,6,13,12,10,10,13,13,15,12,10,15,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Giovani Lo Celso,Argentina,ARG,3,40,5,0,�7.25M,11,12,13,12,11,14,12,12,15,14,12,12,10,15,15,14,13,14,13,12,15,11,14,9,16,13,10,13,8,9,10,16,14,10,13
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Maximiliano Meza,Argentina,ARG,14,131,4,0,�7M,12,13,13,12,8,12,14,13,13,14,8,17,12,15,18,11,13,12,12,13,15,12,16,12,14,11,8,12,5,8,6,14,12,8,14
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Franco Armani,Argentina,ARG,0,192,0,0,�4.1M,13,13,12,13,14,14,14,16,14,13,15,2,15,3,12,14,14,13,13,13,11,7,1,2,6,11,3,3,1,2,3,12,2,12,12
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Tim Cahill,Australia,AUS,148,574,106,50,�0,14,10,7,18,15,13,11,14,9,15,12,13,17,10,17,13,16,11,19,16,13,5,10,11,13,10,18,12,11,13,10,13,15,18,8
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Mile Jedinak,Australia,AUS,24,338,78,19,�2.1M,15,13,9,16,16,14,9,18,10,15,12,9,19,5,15,11,17,12,18,13,11,7,6,9,11,10,14,12,6,14,15,10,15,15,9
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Mark Milligan,Australia,AUS,34,284,70,6,�2.3M,14,14,10,16,14,12,11,14,11,12,12,12,16,10,14,14,12,11,14,12,12,7,11,7,11,7,14,11,15,12,14,14,12,14,11
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Robbie Kruse,Australia,AUS,26,143,66,5,�3M,8,11,14,12,9,10,14,15,13,13,8,15,7,14,12,13,10,10,8,12,12,9,14,12,12,7,8,10,8,6,6,11,10,15,15
Football Manager Database,http://www.footballmanager.com/,Football Manager,2018-06-22 06:19:40.474000000,a620308,Mathew Leckie,Australia,AUS,54,215,55,8,�7.5M,13,15,19,16,12,15,12,17,10,12,8,13,7,13,12,9,12,8,14,10,12,9,13,11,12,8,13,10,6,6,8,10,14,17,14
